episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
33,50,8,0.000,16.660,20.539,272,417,1308,100.0,1,24.477(30.596%)(0.480m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),41.008(41.008%)(2.251m),19.295(24.118%)(0.000m),17.288(43.221%)(0.781m),13.571(33.926%)(0.383m),341.267,2808.053
34,0,65,0.000,18.920,20.492,330,414,1300,100.0,1,24.477(30.596%)(0.480m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),51.000(51.000%)(3.321m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),341.267,2808.053
35,0,0,0.000,25.500,20.635,323,410,1287,100.0,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),17.313(43.281%)(0.783m),26.000(65.000%)(1.714m),540.279,3613.232
36,0,10,0.000,4.500,20.187,228,285,880,85.0,0,24.477(30.596%)(0.480m),22.000(22.000%)(0.214m),62.000(62.000%)(4.500m),28.000(28.000%)(0.857m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),26.000(65.000%)(1.714m),0.000,2666.710
37,55,0,0.000,14.030,20.020,288,417,1310,100.0,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),27.000(67.500%)(1.821m),16.306(40.765%)(0.676m),561.933,2903.825
38,95,0,0.000,16.290,19.922,280,410,1287,100.0,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),24.000(60.000%)(1.500m),16.306(40.765%)(0.676m),561.933,3638.796
39,242,0,0.000,17.880,19.870,274,410,1287,100.0,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),27.000(67.500%)(1.821m),16.327(40.817%)(0.678m),561.933,3638.796
40,55,36,0.000,18.530,19.836,360,413,1297,100.0,1,28.000(35.000%)(0.857m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),20.000(50.000%)(1.071m),16.306(40.765%)(0.676m),561.933,2903.825
41,238,33,0.000,12.660,19.661,371,486,1461,100.0,1,14.403(18.004%)(0.000m),30.816(30.816%)(1.159m),27.000(27.000%)(0.750m),24.000(24.000%)(0.429m),23.000(28.750%)(0.321m),10.097(25.243%)(0.010m),16.306(40.765%)(0.676m),117.578,2501.998
42,95,0,0.000,16.290,19.581,326,410,1287,100.0,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),48.581(48.581%)(3.062m),23.119(28.898%)(0.334m),24.000(60.000%)(1.500m),16.306(40.765%)(0.676m),561.933,3638.796
