episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1599,1,18.2844,15.1167,0.194,414,1299,0,60,0.050,100,40.78,50000,507.01,12,1,24.609(30.761%)(0.494m),48.000(48.000%)(3.000m),62.000(62.000%)(4.500m),51.000(51.000%)(3.321m),24.000(30.000%)(0.429m),17.384(43.460%)(0.791m),17.000(42.500%)(0.750m),485.025,2858.719
1600,1,16.8404,15.3833,0.190,413,1297,26,99,0.050,100,40.81,50000,520.64,13,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),20.000(25.000%)(0.000m),17.367(43.417%)(0.789m),14.000(35.000%)(0.429m),430.499,2792.687
1601,1,18.0057,15.4405,0.177,413,1297,0,75,0.050,100,40.85,50000,508.88,14,1,25.390(31.738%)(0.578m),48.000(48.000%)(3.000m),63.000(63.000%)(4.607m),50.000(50.000%)(3.214m),27.000(33.750%)(0.750m),17.949(44.873%)(0.852m),19.000(47.500%)(0.964m),483.296,2870.855
1602,1,15.6211,15.4147,0.198,430,1336,29,78,0.050,100,40.89,50000,528.88,15,1,24.544(30.680%)(0.487m),42.000(42.000%)(2.357m),55.000(55.000%)(3.750m),39.000(39.000%)(2.036m),20.000(25.000%)(0.000m),17.337(43.343%)(0.786m),14.000(35.000%)(0.429m),297.900,2824.383
1603,1,3.2863,15.4537,0.174,289,888,58,26,0.050,85,40.86,50000,340.30,0,0,20.514(25.642%)(0.055m),21.000(21.000%)(0.107m),28.000(28.000%)(0.857m),35.000(35.000%)(1.607m),26.000(32.500%)(0.643m),14.432(36.079%)(0.475m),26.000(65.000%)(1.714m),0.000,2475.494
1604,1,17.5160,15.4663,0.189,413,1297,1,82,0.050,100,40.90,50000,524.52,1,1,24.677(30.847%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),204.664,2681.231
1605,1,17.4272,15.4755,0.184,415,1302,0,75,0.050,100,40.93,50000,512.21,2,1,24.477(30.596%)(0.480m),48.000(48.000%)(3.000m),62.000(62.000%)(4.500m),43.000(43.000%)(2.464m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),383.618,2774.429
1606,1,-0.7553,15.1734,0.187,336,1022,4,42,0.050,90,40.91,50000,403.87,0,0,25.911(32.388%)(0.633m),52.000(52.000%)(3.429m),67.000(67.000%)(5.036m),24.000(24.000%)(0.429m),12.000(15.000%)(0.000m),18.326(45.815%)(0.892m),10.000(25.000%)(0.000m),324.204,2878.733
1607,1,16.6371,15.1878,0.200,419,1310,80,50,0.050,100,40.95,50000,511.74,1,1,28.000(35.000%)(0.857m),47.000(47.000%)(2.893m),58.000(58.000%)(4.071m),39.000(39.000%)(2.036m),19.029(23.786%)(0.000m),20.000(50.000%)(1.071m),13.386(33.465%)(0.363m),267.777,2752.614
1608,1,13.3149,15.1220,0.185,419,1313,51,99,0.050,100,40.98,50000,518.11,2,1,22.000(27.500%)(0.214m),29.000(29.000%)(0.964m),41.000(41.000%)(2.250m),39.000(39.000%)(2.036m),17.000(21.250%)(0.000m),17.384(43.460%)(0.791m),12.000(30.000%)(0.214m),56.528,2700.661
