episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1806,1,18.1464,15.7283,0.175,415,1300,0,102,0.050,100,45.57,50000,567.85,9,1,24.383(30.479%)(0.470m),43.000(43.000%)(2.464m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.221(43.051%)(0.774m),18.000(45.000%)(0.857m),338.041,2732.805
1807,1,14.7988,15.7225,0.173,456,1391,87,82,0.050,100,45.60,50000,611.26,10,1,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),48.000(48.000%)(3.000m),34.765(34.765%)(1.582m),16.335(20.418%)(0.000m),16.000(40.000%)(0.643m),11.463(28.658%)(0.157m),393.521,2956.059
1808,1,1.4578,15.3957,0.181,351,1055,18,44,0.050,90,45.58,50000,480.63,0,0,24.701(30.876%)(0.504m),49.000(49.000%)(3.107m),48.000(48.000%)(3.000m),21.000(21.000%)(0.107m),12.000(15.000%)(0.000m),17.473(43.682%)(0.801m),11.000(27.500%)(0.107m),210.729,2841.663
1809,1,18.5441,15.4360,0.197,413,1297,0,86,0.050,100,45.61,50000,548.69,1,1,24.427(30.533%)(0.474m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),46.000(46.000%)(2.786m),28.000(35.000%)(0.857m),17.252(43.131%)(0.777m),20.000(50.000%)(1.071m),336.598,2766.428
1810,1,14.1330,15.3799,0.180,424,1323,98,59,0.050,100,45.64,50000,534.78,2,1,21.933(27.416%)(0.207m),45.662(45.662%)(2.749m),60.000(60.000%)(4.286m),48.000(48.000%)(3.000m),22.000(27.500%)(0.214m),15.449(38.622%)(0.584m),16.000(40.000%)(0.643m),413.296,2849.101
1811,1,19.1469,15.3982,0.187,416,1302,0,62,0.050,100,45.67,50000,571.44,3,1,20.000(25.000%)(0.000m),42.000(42.000%)(2.357m),63.000(63.000%)(4.607m),47.000(47.000%)(2.893m),34.000(42.500%)(1.500m),17.000(42.500%)(0.750m),26.000(65.000%)(1.714m),358.208,2778.081
1812,1,18.5218,15.4548,0.172,413,1297,0,86,0.050,100,45.70,50000,550.36,4,1,24.395(30.494%)(0.471m),35.000(35.000%)(1.607m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),24.000(30.000%)(0.429m),17.229(43.074%)(0.775m),17.000(42.500%)(0.750m),226.783,2662.417
1813,1,17.7551,15.4103,0.162,414,1299,55,45,0.050,100,45.73,50000,579.28,5,1,28.000(35.000%)(0.857m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),47.826(47.826%)(2.981m),23.130(28.913%)(0.335m),20.000(50.000%)(1.071m),16.326(40.814%)(0.678m),251.623,2773.746
1814,1,17.8734,15.7438,0.170,417,1305,0,83,0.050,100,45.76,50000,568.43,6,1,24.732(30.915%)(0.507m),43.000(43.000%)(2.464m),64.000(64.000%)(4.714m),47.000(47.000%)(2.893m),23.000(28.750%)(0.321m),17.473(43.683%)(0.801m),20.000(50.000%)(1.071m),418.442,2768.726
1815,1,17.5528,15.7776,0.181,413,1295,37,85,0.050,100,45.79,50000,560.38,7,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),20.000(50.000%)(1.071m),16.224(40.560%)(0.667m),227.402,2712.478
1816,1,18.2311,15.7590,0.163,412,1294,37,69,0.050,100,45.81,50000,554.28,8,1,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),67.000(67.000%)(5.036m),48.355(48.355%)(3.038m),23.006(28.757%)(0.322m),20.000(50.000%)(1.071m),16.224(40.560%)(0.667m),227.402,2720.886
1817,1,17.8117,15.7595,0.172,418,1308,5,17,0.050,100,45.84,50000,556.89,9,1,25.393(31.741%)(0.578m),41.000(41.000%)(2.250m),55.000(55.000%)(3.750m),53.000(53.000%)(3.536m),31.000(38.750%)(1.179m),17.951(44.878%)(0.852m),22.000(55.000%)(1.286m),328.593,2852.346
1818,1,20.0518,15.7650,0.168,415,1300,0,36,0.050,100,45.87,50000,554.85,10,1,24.612(30.766%)(0.494m),49.000(49.000%)(3.107m),64.000(64.000%)(4.714m),46.000(46.000%)(2.786m),23.000(28.750%)(0.321m),17.387(43.466%)(0.791m),21.000(52.500%)(1.179m),467.058,2837.377
1819,1,17.3988,15.7899,0.175,413,1297,0,122,0.050,100,45.90,50000,543.53,11,1,24.284(30.355%)(0.459m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.149(42.873%)(0.766m),17.000(42.500%)(0.750m),331.013,2698.495
1820,1,17.0571,15.7942,0.161,440,1355,16,35,0.050,100,45.93,50000,585.45,12,1,21.861(27.326%)(0.199m),45.988(45.988%)(2.784m),62.000(62.000%)(4.500m),45.000(45.000%)(2.679m),28.000(35.000%)(0.857m),15.406(38.514%)(0.579m),22.000(55.000%)(1.286m),428.490,2987.315
1821,1,20.1568,15.8098,0.149,414,1299,0,34,0.050,100,45.96,50000,568.71,13,1,24.477(30.596%)(0.480m),43.000(43.000%)(2.464m),65.000(65.000%)(4.821m),36.000(36.000%)(1.714m),26.000(32.500%)(0.643m),17.288(43.221%)(0.781m),23.000(57.500%)(1.393m),205.719,2658.531
