episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1793,1,-0.0590,15.8918,0.188,301,924,51,33,0.050,90,45.06,50000,308.73,0,0,21.076(26.345%)(0.115m),44.526(44.526%)(2.628m),59.000(59.000%)(4.179m),26.000(26.000%)(0.643m),20.000(25.000%)(0.000m),14.835(37.087%)(0.518m),24.000(60.000%)(1.500m),237.847,2789.428
1794,1,18.8695,15.9347,0.167,415,1300,1,4,0.050,100,45.09,50000,560.79,1,1,24.954(31.192%)(0.531m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),31.000(38.750%)(1.179m),17.633(44.084%)(0.818m),23.000(57.500%)(1.393m),402.388,2797.541
1795,1,18.3582,15.9751,0.167,413,1295,7,31,0.050,100,45.13,50000,440.43,2,1,32.000(40.000%)(1.286m),52.000(52.000%)(3.429m),75.000(75.000%)(5.893m),48.365(48.365%)(3.039m),23.010(28.763%)(0.323m),19.000(47.500%)(0.964m),16.228(40.569%)(0.667m),562.906,2924.173
1796,1,15.0885,16.2826,0.175,436,1347,69,95,0.050,100,45.16,50000,474.24,3,1,24.000(30.000%)(0.429m),43.000(43.000%)(2.464m),53.000(53.000%)(3.536m),40.000(40.000%)(2.143m),22.110(27.638%)(0.226m),15.000(37.500%)(0.536m),15.576(38.941%)(0.597m),323.109,2775.085
1797,1,1.0693,16.0508,0.180,199,542,35,22,0.050,65,45.13,50000,259.28,0,0,22.000(27.500%)(0.214m),26.000(26.000%)(0.643m),37.000(37.000%)(1.821m),64.266(64.266%)(4.743m),38.872(48.590%)(2.022m),40.000(100.000%)(3.214m),38.400(95.999%)(3.043m),31.381,3583.147
1798,1,18.3896,16.0574,0.163,454,1385,9,29,0.050,100,45.16,50000,508.44,1,1,25.828(32.285%)(0.624m),45.000(45.000%)(2.679m),52.000(52.000%)(3.429m),40.000(40.000%)(2.143m),27.000(33.750%)(0.750m),18.266(45.665%)(0.886m),22.000(55.000%)(1.286m),307.088,3183.714
1799,1,18.5294,16.1468,0.189,430,1333,0,68,0.050,100,45.19,50000,609.00,2,1,24.783(30.979%)(0.512m),51.899(51.899%)(3.418m),72.000(72.000%)(5.571m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.510(43.775%)(0.805m),17.000(42.500%)(0.750m),368.147,3238.999
1800,1,19.6220,16.2702,0.167,414,1297,0,8,0.050,100,45.22,50000,550.21,3,1,24.853(31.067%)(0.520m),52.014(52.014%)(3.430m),84.000(84.000%)(6.857m),45.000(45.000%)(2.679m),30.000(37.500%)(1.071m),17.563(43.908%)(0.810m),23.000(57.500%)(1.393m),430.499,2896.050
1801,1,2.1571,15.9841,0.178,299,915,5,21,0.050,85,45.20,50000,311.50,0,0,24.488(30.610%)(0.481m),51.289(51.289%)(3.352m),35.000(35.000%)(1.607m),21.000(21.000%)(0.107m),30.000(37.500%)(1.071m),17.308(43.271%)(0.783m),26.000(65.000%)(1.714m),383.618,2867.647
1802,1,18.2680,15.9976,0.177,420,1312,49,26,0.050,100,45.23,50000,508.60,1,1,22.388(27.985%)(0.256m),47.123(47.123%)(2.906m),54.000(54.000%)(3.643m),42.000(42.000%)(2.357m),28.000(35.000%)(0.857m),15.777(39.442%)(0.619m),24.000(60.000%)(1.500m),420.494,2827.614
1803,1,0.9487,15.7071,0.190,340,1045,26,81,0.050,90,45.20,50000,388.03,0,0,13.000(16.250%)(0.000m),35.000(35.000%)(1.607m),47.000(47.000%)(2.893m),42.000(42.000%)(2.357m),26.258(32.822%)(0.670m),10.000(25.000%)(0.000m),18.577(46.442%)(0.919m),244.859,2637.678
1804,1,16.6655,15.6411,0.149,416,1305,23,68,0.050,100,45.23,50000,513.14,1,1,24.698(30.873%)(0.503m),44.000(44.000%)(2.571m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),20.000(25.000%)(0.000m),17.449(43.622%)(0.798m),14.000(35.000%)(0.429m),452.381,2869.778
1805,1,14.8319,15.5291,0.163,415,1302,64,56,0.050,100,45.26,50000,511.98,2,1,23.000(28.750%)(0.321m),57.000(57.000%)(3.964m),73.000(73.000%)(5.679m),40.598(40.598%)(2.207m),19.135(23.919%)(0.000m),17.000(42.500%)(0.750m),13.450(33.625%)(0.370m),479.202,2971.298
1806,1,13.3972,15.4273,0.165,430,1334,77,51,0.050,100,45.29,50000,450.01,3,1,21.714(27.142%)(0.184m),45.787(45.787%)(2.763m),67.000(67.000%)(5.036m),59.000(59.000%)(4.179m),27.000(33.750%)(0.750m),15.292(38.230%)(0.567m),19.000(47.500%)(0.964m),480.369,3227.212
1807,1,15.2585,15.4392,0.167,419,1311,22,71,0.050,100,45.32,50000,496.09,4,1,24.954(31.192%)(0.531m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),41.000(41.000%)(2.250m),20.000(25.000%)(0.000m),17.633(44.083%)(0.818m),14.000(35.000%)(0.429m),402.388,2786.606
